epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5785,1.08318,1.99716,1.05931,0.00842,0.49302,0.19115,0.13134,1.24718,3.2132,1.13474,0.000650794,0.000650794,0.000650794
2,22.2819,1.11503,1.21695,1.06332,0.78688,0.54296,0.68919,0.4311,1.2415,2.21886,1.15779,0.00130442,0.00130442,0.00130442
3,32.9837,1.13069,1.05615,1.06003,0.50469,0.54826,0.50902,0.31142,1.34729,1.94729,1.30772,0.00194484,0.00194484,0.00194484
4,43.6147,1.16348,0.946,1.07608,0.62699,0.6609,0.63233,0.36492,1.44021,1.92443,1.31444,0.0019406,0.0019406,0.0019406
5,54.2242,1.12455,0.78693,1.07417,0.6142,0.70235,0.69447,0.44217,1.24317,2.15478,1.18579,0.0019208,0.0019208,0.0019208
6,64.8477,1.1046,0.73546,1.05525,0.92009,0.82007,0.9186,0.55497,1.25037,0.83995,1.14664,0.001901,0.001901,0.001901
7,75.5168,1.06006,0.66309,1.03481,0.90699,0.87733,0.92646,0.57963,1.18746,0.81343,1.12286,0.0018812,0.0018812,0.0018812
8,86.0971,1.07406,0.66268,1.03992,0.88366,0.85418,0.90102,0.5326,1.27011,0.97637,1.20167,0.0018614,0.0018614,0.0018614
9,96.6414,1.04216,0.6336,1.04116,0.6808,0.79931,0.80871,0.5239,1.2362,1.00825,1.12017,0.0018416,0.0018416,0.0018416
10,107.26,1.04774,0.61944,1.02058,0.91103,0.92122,0.93766,0.61131,1.15902,0.79923,1.09197,0.0018218,0.0018218,0.0018218
11,117.831,1.01805,0.58036,1.01175,0.92885,0.9308,0.95348,0.61552,1.13393,0.73356,1.06379,0.001802,0.001802,0.001802
12,128.489,1.01453,0.58028,1.03057,0.91964,0.93599,0.96128,0.61456,1.17169,0.72028,1.09985,0.0017822,0.0017822,0.0017822
13,139.095,1.02687,0.58347,1.02776,0.89233,0.86028,0.89545,0.5941,1.14432,0.86348,1.06528,0.0017624,0.0017624,0.0017624
14,149.663,1.01705,0.55675,1.01554,0.88927,0.91696,0.94129,0.61214,1.13852,0.6752,1.07266,0.0017426,0.0017426,0.0017426
15,160.201,1.00966,0.55619,1.02088,0.92546,0.92366,0.95204,0.60895,1.21957,0.72383,1.14434,0.0017228,0.0017228,0.0017228
16,170.83,0.98195,0.54238,1.02096,0.92506,0.90657,0.95179,0.61302,1.19142,0.70583,1.14082,0.001703,0.001703,0.001703
17,181.397,0.96309,0.52993,1.00509,0.9389,0.93253,0.95618,0.6237,1.13291,0.72518,1.08068,0.0016832,0.0016832,0.0016832
18,192.035,0.98066,0.53883,1.00857,0.93834,0.94781,0.96047,0.62618,1.14191,0.64574,1.04485,0.0016634,0.0016634,0.0016634
19,202.601,0.99058,0.52844,1.02071,0.9383,0.91522,0.95673,0.63479,1.11463,0.65944,1.06184,0.0016436,0.0016436,0.0016436
20,213.233,0.98905,0.52182,1.00458,0.93623,0.91869,0.95318,0.59212,1.21963,0.6492,1.15551,0.0016238,0.0016238,0.0016238
21,223.815,0.95121,0.51732,1.00369,0.95416,0.93634,0.96394,0.64385,1.09583,0.57076,1.05934,0.001604,0.001604,0.001604
22,234.663,0.97747,0.51006,1.01208,0.94808,0.93253,0.95566,0.64489,1.11753,0.66937,1.07669,0.0015842,0.0015842,0.0015842
23,245.286,0.94583,0.49455,0.99833,0.94672,0.95297,0.9717,0.66178,1.08144,0.55971,1.04461,0.0015644,0.0015644,0.0015644
24,255.94,0.95162,0.50192,0.99392,0.94122,0.94464,0.95836,0.65526,1.04382,0.58672,1.02336,0.0015446,0.0015446,0.0015446
25,266.512,0.93957,0.50133,0.99828,0.94203,0.95589,0.97167,0.64937,1.10665,0.59107,1.07023,0.0015248,0.0015248,0.0015248
26,277.102,0.96794,0.50846,1.0047,0.95313,0.93945,0.96643,0.66381,1.07446,0.59757,1.05011,0.001505,0.001505,0.001505
27,287.813,0.95903,0.49038,0.9986,0.9345,0.96269,0.96265,0.6542,1.05137,0.56297,1.05455,0.0014852,0.0014852,0.0014852
28,298.214,0.92557,0.48259,0.98743,0.94715,0.96367,0.97513,0.67469,1.04562,0.53188,1.04414,0.0014654,0.0014654,0.0014654
29,308.749,0.91721,0.46824,0.97672,0.94694,0.95329,0.96825,0.66817,1.03576,0.57392,1.02868,0.0014456,0.0014456,0.0014456
30,319.251,0.92087,0.47301,0.98634,0.93696,0.96713,0.97009,0.65435,1.08115,0.54683,1.08141,0.0014258,0.0014258,0.0014258
31,329.765,0.93351,0.47584,0.99411,0.96606,0.97405,0.98375,0.68275,1.02596,0.5104,1.03128,0.001406,0.001406,0.001406
32,340.363,0.92628,0.47215,0.98228,0.95528,0.96021,0.97065,0.67164,1.04204,0.53456,1.02544,0.0013862,0.0013862,0.0013862
33,351.02,0.92285,0.46006,0.98586,0.97207,0.96352,0.97578,0.67809,1.06894,0.53162,1.02864,0.0013664,0.0013664,0.0013664
34,361.593,0.90406,0.46128,0.99209,0.96156,0.95156,0.97005,0.67029,1.05968,0.5365,1.05295,0.0013466,0.0013466,0.0013466
35,372.206,0.89336,0.45959,0.97752,0.94735,0.94983,0.96804,0.67264,1.03497,0.558,1.0378,0.0013268,0.0013268,0.0013268
36,382.759,0.93146,0.47259,0.98761,0.96852,0.96367,0.97331,0.68309,0.98578,0.5208,1.00967,0.001307,0.001307,0.001307
37,393.224,0.88816,0.45266,0.96929,0.96369,0.96433,0.97812,0.69412,1.01177,0.5305,1.0151,0.0012872,0.0012872,0.0012872
38,403.762,0.89106,0.45326,0.98373,0.94633,0.95848,0.96843,0.6815,1.0341,0.58596,1.05408,0.0012674,0.0012674,0.0012674
39,414.284,0.89432,0.44812,0.97341,0.95075,0.96859,0.97907,0.66964,1.02292,0.53432,1.04034,0.0012476,0.0012476,0.0012476
40,424.84,0.8984,0.45676,0.97583,0.95181,0.96886,0.97692,0.67858,0.9963,0.4972,1.02732,0.0012278,0.0012278,0.0012278
41,435.35,0.8833,0.44445,0.9691,0.95702,0.96306,0.97507,0.68429,1.00422,0.48247,1.01417,0.001208,0.001208,0.001208
42,445.921,0.87992,0.43899,0.97114,0.9533,0.9654,0.97276,0.68084,1.05643,0.51577,1.05672,0.0011882,0.0011882,0.0011882
43,456.479,0.87705,0.4371,0.97832,0.93612,0.9654,0.97089,0.67472,1.02389,0.52011,1.02998,0.0011684,0.0011684,0.0011684
44,467.067,0.86407,0.44167,0.97049,0.95857,0.9606,0.97624,0.67992,1.02075,0.50505,1.01957,0.0011486,0.0011486,0.0011486
45,477.87,0.89189,0.43889,0.97147,0.97056,0.96949,0.98151,0.69216,1.01783,0.48445,1.02504,0.0011288,0.0011288,0.0011288
46,488.914,0.8746,0.4326,0.96489,0.95755,0.96713,0.9771,0.67968,1.036,0.49506,1.04244,0.001109,0.001109,0.001109
47,499.952,0.8776,0.4444,0.97079,0.94768,0.97149,0.96514,0.66432,1.03871,0.52073,1.05453,0.0010892,0.0010892,0.0010892
48,510.982,0.85756,0.43381,0.96511,0.97023,0.94983,0.97526,0.69757,1.01996,0.52706,1.0381,0.0010694,0.0010694,0.0010694
49,521.998,0.8544,0.42699,0.96689,0.97294,0.93253,0.97001,0.68987,1.0181,0.58614,1.04759,0.0010496,0.0010496,0.0010496
50,532.986,0.85521,0.42076,0.9667,0.95818,0.97405,0.97382,0.69396,0.97615,0.46533,1.00924,0.0010298,0.0010298,0.0010298
51,544.079,0.86242,0.42469,0.97036,0.95648,0.96367,0.97196,0.6803,0.99874,0.53416,1.0134,0.00101,0.00101,0.00101
