epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0341,1.11327,1.94614,1.05508,0.85053,0.37411,0.56567,0.35985,1.24224,2.30851,1.20206,0.000656566,0.000656566,0.000656566
2,25.4522,1.16195,0.77395,1.06262,0.47542,0.3622,0.33386,0.19311,nan,nan,nan,0.00131013,0.00131013,0.00131013
3,37.5766,1.18457,0.78038,1.08261,0.62047,0.6436,0.56343,0.30058,1.63637,1.76379,1.41839,0.0019505,0.0019505,0.0019505
4,49.8729,1.16644,0.77395,1.09949,0.77226,0.71575,0.78347,0.43254,1.55579,8.62401,1.53256,0.0019406,0.0019406,0.0019406
5,61.886,1.13012,0.71358,1.07592,0.77215,0.76644,0.79561,0.45149,1.51291,1.73834,1.39951,0.0019208,0.0019208,0.0019208
6,73.8461,1.12392,0.6665,1.06492,0.6766,0.87235,0.7741,0.46992,1.34358,1.46675,1.21206,0.001901,0.001901,0.001901
7,85.8417,1.1015,0.64495,1.05724,0.90362,0.89792,0.92812,0.57167,1.36312,0.84056,1.23493,0.0018812,0.0018812,0.0018812
8,97.9026,1.11057,0.63681,1.06285,0.84283,0.90657,0.9029,0.55509,1.34333,0.95771,1.24518,0.0018614,0.0018614,0.0018614
9,109.887,1.08038,0.61876,1.04293,0.91644,0.9298,0.94257,0.59693,1.36156,0.80973,1.23614,0.0018416,0.0018416,0.0018416
10,121.928,1.04503,0.57558,1.02157,0.9352,0.92215,0.94463,0.5891,1.26434,0.80673,1.19129,0.0018218,0.0018218,0.0018218
11,134.054,1.00813,0.56842,1.02366,0.9458,0.90579,0.92805,0.58788,1.29614,1.10373,1.19957,0.001802,0.001802,0.001802
12,146.036,1.00206,0.5563,1.00471,0.93339,0.89965,0.9303,0.59678,1.41199,1.04977,1.28684,0.0017822,0.0017822,0.0017822
13,158.346,1.01473,0.5626,0.99964,0.93979,0.93772,0.95753,0.59805,1.30923,0.73623,1.19324,0.0017624,0.0017624,0.0017624
14,170.791,1.01732,0.54308,1.00943,0.92999,0.94291,0.95289,0.62123,1.25456,0.67349,1.12545,0.0017426,0.0017426,0.0017426
15,182.768,1.02274,0.55191,1.02466,0.9353,0.93253,0.94831,0.6228,1.24514,0.81288,1.15569,0.0017228,0.0017228,0.0017228
16,194.776,1.00339,0.54792,1.0171,0.93163,0.92042,0.95184,0.61842,1.1803,0.65106,1.10495,0.001703,0.001703,0.001703
17,206.723,1.00661,0.54217,1.0065,0.93263,0.93945,0.9553,0.63141,1.19515,0.68987,1.0895,0.0016832,0.0016832,0.0016832
18,218.613,0.97961,0.52619,1.00454,0.92043,0.96062,0.96663,0.64922,1.16905,0.61285,1.0669,0.0016634,0.0016634,0.0016634
19,230.696,0.98339,0.52282,1.00625,0.94227,0.93599,0.96176,0.61353,1.29401,0.85351,1.21547,0.0016436,0.0016436,0.0016436
20,242.638,0.9869,0.51243,0.99344,0.94744,0.96673,0.97148,0.65165,1.12872,0.6007,1.07742,0.0016238,0.0016238,0.0016238
21,254.694,0.94691,0.5133,0.98922,0.94268,0.91047,0.93928,0.62076,1.33756,1.10757,1.22351,0.001604,0.001604,0.001604
22,266.683,0.94073,0.5034,0.98969,0.93652,0.94434,0.95314,0.6234,1.16182,0.65909,1.0946,0.0015842,0.0015842,0.0015842
23,278.732,0.97,0.49865,0.99539,0.92942,0.93412,0.94543,0.62757,1.20412,0.83994,1.16722,0.0015644,0.0015644,0.0015644
24,290.777,0.95922,0.4997,0.98557,0.95787,0.96021,0.97229,0.66687,1.06964,0.56551,1.04683,0.0015446,0.0015446,0.0015446
25,302.92,0.91956,0.48324,0.97344,0.95325,0.9654,0.97332,0.6721,1.1505,0.59155,1.08543,0.0015248,0.0015248,0.0015248
26,314.884,0.92361,0.47569,0.97313,0.95267,0.97578,0.97476,0.67031,1.08128,0.53502,1.03701,0.001505,0.001505,0.001505
27,326.804,0.93428,0.47949,0.98458,0.9518,0.96194,0.97103,0.67031,1.11749,0.55857,1.05359,0.0014852,0.0014852,0.0014852
28,338.77,0.88475,0.46297,0.96639,0.95191,0.96713,0.9733,0.65683,1.17934,0.58729,1.11089,0.0014654,0.0014654,0.0014654
29,350.85,0.91358,0.47107,0.96923,0.96705,0.96467,0.97651,0.66346,1.07994,0.56563,1.05567,0.0014456,0.0014456,0.0014456
30,362.985,0.90364,0.47372,0.96171,0.95789,0.9446,0.96521,0.66484,1.11976,0.61925,1.06237,0.0014258,0.0014258,0.0014258
31,374.954,0.90444,0.46428,0.96222,0.96414,0.95502,0.97424,0.67869,1.13724,0.54902,1.05301,0.001406,0.001406,0.001406
32,386.953,0.90409,0.4731,0.97538,0.95549,0.96554,0.97688,0.68048,1.0934,0.54754,1.04629,0.0013862,0.0013862,0.0013862
33,398.868,0.90206,0.4573,0.96854,0.95439,0.95156,0.97119,0.66311,1.14395,0.54836,1.07278,0.0013664,0.0013664,0.0013664
34,410.874,0.91425,0.46056,0.96568,0.94413,0.93565,0.95713,0.65207,1.18545,0.7604,1.10784,0.0013466,0.0013466,0.0013466
35,422.916,0.9045,0.46475,0.96733,0.96316,0.94991,0.97068,0.66332,1.14513,0.55633,1.07584,0.0013268,0.0013268,0.0013268
36,434.985,0.88804,0.45553,0.964,0.9212,0.97083,0.96808,0.67091,1.17641,0.59051,1.08178,0.001307,0.001307,0.001307
37,447.01,0.8735,0.44949,0.9569,0.94421,0.96194,0.96916,0.65576,1.26247,0.62902,1.20522,0.0012872,0.0012872,0.0012872
38,458.967,0.88724,0.45239,0.96135,0.95733,0.96886,0.97486,0.6926,1.0701,0.51209,1.03423,0.0012674,0.0012674,0.0012674
39,471.099,0.88525,0.44717,0.96492,0.95792,0.96194,0.97038,0.67112,1.18023,0.5486,1.12351,0.0012476,0.0012476,0.0012476
40,483.005,0.86164,0.43512,0.9448,0.96048,0.96699,0.97869,0.69222,1.16492,0.53586,1.07084,0.0012278,0.0012278,0.0012278
41,495.034,0.86135,0.43044,0.96297,0.95873,0.95675,0.96826,0.68607,1.16069,0.53772,1.11418,0.001208,0.001208,0.001208
42,506.899,0.8738,0.43309,0.95588,0.92415,0.94855,0.96716,0.68157,1.20359,0.5914,1.18593,0.0011882,0.0011882,0.0011882
43,518.716,0.87076,0.43935,0.95505,0.95894,0.96962,0.97629,0.6784,1.19505,0.54655,1.11395,0.0011684,0.0011684,0.0011684
44,530.516,0.87251,0.43546,0.95058,0.96067,0.96713,0.97565,0.68918,1.16227,0.59566,1.13229,0.0011486,0.0011486,0.0011486
45,542.243,0.85247,0.43089,0.94994,0.9539,0.95502,0.97379,0.69595,1.07791,0.66684,1.03473,0.0011288,0.0011288,0.0011288
46,554.017,0.87228,0.43301,0.95675,0.95749,0.96021,0.97629,0.68826,1.13804,0.58907,1.09843,0.001109,0.001109,0.001109
47,565.888,0.85627,0.42625,0.9453,0.94564,0.9631,0.96999,0.67711,1.16422,0.53277,1.11091,0.0010892,0.0010892,0.0010892
48,577.655,0.86239,0.42828,0.94954,0.95488,0.97578,0.9784,0.69457,1.15366,0.53341,1.07631,0.0010694,0.0010694,0.0010694
49,589.65,0.8394,0.41389,0.94535,0.96516,0.95845,0.97939,0.69934,1.11614,0.49479,1.07347,0.0010496,0.0010496,0.0010496
50,601.439,0.8448,0.42042,0.94706,0.96043,0.96578,0.97539,0.68427,1.10331,0.52326,1.05537,0.0010298,0.0010298,0.0010298
51,613.102,0.84248,0.41538,0.94138,0.96839,0.95675,0.97999,0.70603,1.11604,0.51036,1.04841,0.00101,0.00101,0.00101
52,624.794,0.85445,0.41686,0.94563,0.97798,0.9481,0.97702,0.69621,1.19217,0.59679,1.11944,0.0009902,0.0009902,0.0009902
53,636.628,0.844,0.41745,0.94606,0.96248,0.9654,0.97818,0.69515,1.14031,0.53148,1.05735,0.0009704,0.0009704,0.0009704
54,648.385,0.85195,0.41356,0.94454,0.94444,0.97058,0.97341,0.68815,1.18042,0.57404,1.14721,0.0009506,0.0009506,0.0009506
55,660.174,0.82875,0.41146,0.94189,0.96722,0.9698,0.9855,0.70063,1.13187,0.52359,1.08693,0.0009308,0.0009308,0.0009308
