epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2376,1.29745,1.69413,1.07677,0.85323,0.78594,0.85267,0.51691,1.31557,1.72735,1.13261,0.000661333,0.000661333,0.000661333
2,21.4809,1.30802,1.15768,1.09849,0.83344,0.8515,0.89214,0.54231,1.295,1.32967,1.12573,0.00130171,0.00130171,0.00130171
3,31.392,1.29113,1.02883,1.10863,0.79702,0.79021,0.8243,0.47232,1.41445,1.54676,1.29102,0.00191568,0.00191568,0.00191568
4,41.33,1.29887,0.94398,1.11335,0.88197,0.82284,0.90924,0.53724,1.32072,1.05662,1.21667,0.0018812,0.0018812,0.0018812
5,51.409,1.26368,0.83758,1.08437,0.90704,0.90909,0.94217,0.60108,1.18631,0.90534,1.10419,0.0018416,0.0018416,0.0018416
6,61.3257,1.23821,0.80039,1.08405,0.91017,0.89754,0.94376,0.57438,1.22622,0.91124,1.13472,0.001802,0.001802,0.001802
7,71.1566,1.23149,0.74279,1.065,0.93846,0.93473,0.95753,0.61106,1.15713,0.76883,1.05934,0.0017624,0.0017624,0.0017624
8,81.2191,1.21776,0.72731,1.04444,0.91714,0.90676,0.94389,0.59626,1.24671,0.73421,1.15149,0.0017228,0.0017228,0.0017228
9,91.1659,1.17776,0.68634,1.05357,0.92777,0.92541,0.94906,0.61822,1.17965,0.80606,1.1094,0.0016832,0.0016832,0.0016832
10,100.984,1.19811,0.67154,1.04425,0.92883,0.92774,0.96053,0.6243,1.14823,0.67094,1.09414,0.0016436,0.0016436,0.0016436
11,110.978,1.16249,0.65764,1.05243,0.92858,0.93956,0.95203,0.62581,1.13251,0.66522,1.08142,0.001604,0.001604,0.001604
12,120.977,1.16696,0.64435,1.03877,0.91737,0.92075,0.94684,0.60991,1.1975,0.71259,1.1239,0.0015644,0.0015644,0.0015644
13,130.751,1.15533,0.63697,1.03495,0.95033,0.93653,0.96162,0.65522,1.05795,0.61059,1.04222,0.0015248,0.0015248,0.0015248
14,141.73,1.13807,0.60784,1.02139,0.91282,0.94406,0.94659,0.63018,1.13267,0.64964,1.08693,0.0014852,0.0014852,0.0014852
15,152.415,1.14494,0.60075,1.02912,0.93309,0.93473,0.95051,0.65335,1.06355,0.6317,1.04992,0.0014456,0.0014456,0.0014456
16,163.21,1.12357,0.59717,1.03237,0.93293,0.95105,0.9567,0.64998,1.04209,0.59063,1.04481,0.001406,0.001406,0.001406
17,172.921,1.10773,0.58211,1.01958,0.916,0.95338,0.95035,0.6589,1.05942,0.62795,1.04051,0.0013664,0.0013664,0.0013664
18,182.812,1.09606,0.57525,1.02327,0.93323,0.94477,0.96048,0.65297,1.07103,0.59923,1.0694,0.0013268,0.0013268,0.0013268
19,192.737,1.10938,0.58174,1.02793,0.91673,0.9324,0.95597,0.6535,1.12026,0.60723,1.07116,0.0012872,0.0012872,0.0012872
20,202.199,1.10389,0.56961,1.02549,0.92724,0.94639,0.96271,0.67537,1.02246,0.55891,1.02963,0.0012476,0.0012476,0.0012476
21,211.991,1.07139,0.56428,1.01283,0.92242,0.95105,0.96602,0.66831,0.9884,0.58098,1.01407,0.001208,0.001208,0.001208
22,221.598,1.10078,0.56013,1.01777,0.92932,0.96037,0.97134,0.65798,1.04249,0.57905,1.0481,0.0011684,0.0011684,0.0011684
23,231.393,1.09522,0.57606,1.02583,0.93312,0.9432,0.96582,0.65736,1.02699,0.56129,1.03899,0.0011288,0.0011288,0.0011288
24,241.057,1.08013,0.54943,1.00831,0.9415,0.94172,0.9678,0.66244,1.04778,0.53443,1.05105,0.0010892,0.0010892,0.0010892
25,250.96,1.09039,0.55092,1.01085,0.93443,0.95338,0.9591,0.67448,1.02638,0.55074,1.03476,0.0010496,0.0010496,0.0010496
26,260.6,1.0492,0.53061,0.99668,0.93497,0.95105,0.96341,0.67758,0.99861,0.52794,1.02136,0.00101,0.00101,0.00101
27,270.229,1.08498,0.54382,1.01476,0.93858,0.93473,0.95654,0.66609,0.99524,0.55721,1.01471,0.0009704,0.0009704,0.0009704
28,280.079,1.04259,0.52438,1.00448,0.9349,0.93734,0.95697,0.6837,0.98197,0.54456,1.01443,0.0009308,0.0009308,0.0009308
29,289.726,1.04173,0.53067,0.99883,0.93983,0.94872,0.96537,0.66725,1.03104,0.5272,1.02912,0.0008912,0.0008912,0.0008912
30,299.383,1.03326,0.50929,0.98577,0.92786,0.95338,0.95229,0.66653,1.01707,0.53621,1.02497,0.0008516,0.0008516,0.0008516
31,309.271,1.04176,0.51127,0.9962,0.94819,0.93856,0.95854,0.65269,1.01929,0.52384,1.03,0.000812,0.000812,0.000812
32,318.98,1.01363,0.51183,0.98594,0.93806,0.95322,0.95865,0.68928,0.94557,0.52474,0.98858,0.0007724,0.0007724,0.0007724
33,328.588,1.0233,0.49763,0.99108,0.93505,0.95571,0.95472,0.67877,0.97339,0.50305,1.0097,0.0007328,0.0007328,0.0007328
34,338.657,0.99546,0.4935,0.98133,0.94462,0.95419,0.96726,0.70593,0.94366,0.48587,0.99104,0.0006932,0.0006932,0.0006932
35,348.234,1.03131,0.49752,0.98581,0.94655,0.94938,0.96995,0.70002,0.97255,0.50692,1.00796,0.0006536,0.0006536,0.0006536
36,357.795,0.99659,0.48845,0.98055,0.95563,0.93706,0.96565,0.70105,0.92648,0.49243,0.97966,0.000614,0.000614,0.000614
37,367.423,0.98417,0.47234,0.96851,0.96372,0.94172,0.97199,0.70173,0.96635,0.5264,0.99077,0.0005744,0.0005744,0.0005744
38,377.181,0.9817,0.47866,0.97319,0.94113,0.95804,0.96426,0.70316,0.93119,0.487,0.97946,0.0005348,0.0005348,0.0005348
39,386.886,0.9819,0.47728,0.97511,0.93697,0.9627,0.96558,0.70975,0.93172,0.4744,0.97908,0.0004952,0.0004952,0.0004952
40,396.473,0.97233,0.47281,0.97298,0.94655,0.95338,0.96513,0.69692,0.95636,0.48558,0.99579,0.0004556,0.0004556,0.0004556
41,418.836,0.99832,0.45945,0.97259,0.94468,0.95533,0.96973,0.69277,0.9688,0.49599,0.99958,0.000416,0.000416,0.000416
42,428.218,0.98643,0.44641,0.96707,0.93965,0.95571,0.96301,0.70748,0.92266,0.48979,0.97176,0.0003764,0.0003764,0.0003764
43,437.942,0.97653,0.4422,0.96068,0.94501,0.94406,0.96311,0.71108,0.9314,0.48189,0.98021,0.0003368,0.0003368,0.0003368
44,447.495,0.96997,0.43635,0.96211,0.94246,0.95338,0.9691,0.70292,0.93363,0.46723,0.98093,0.0002972,0.0002972,0.0002972
45,456.977,0.97371,0.43755,0.94986,0.94033,0.95571,0.97118,0.71148,0.94602,0.46414,0.98699,0.0002576,0.0002576,0.0002576
46,466.706,0.9676,0.43353,0.96141,0.94185,0.96737,0.97432,0.71613,0.91877,0.46372,0.9765,0.000218,0.000218,0.000218
47,476.458,0.95427,0.43221,0.9507,0.95543,0.95804,0.97456,0.71741,0.91944,0.45369,0.9777,0.0001784,0.0001784,0.0001784
48,486.081,0.97207,0.42853,0.95898,0.95125,0.96503,0.97202,0.71626,0.92243,0.46429,0.97502,0.0001388,0.0001388,0.0001388
49,495.681,0.93314,0.41857,0.94557,0.94746,0.9668,0.97118,0.71605,0.9217,0.47209,0.97674,9.92e-05,9.92e-05,9.92e-05
50,505.093,0.93815,0.41777,0.947,0.94716,0.96099,0.96805,0.72081,0.90216,0.46699,0.96859,5.96e-05,5.96e-05,5.96e-05
