epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2189,1.30743,1.8896,1.17611,0.63567,0.48951,0.6456,0.39925,1.40941,1.64228,1.58073,0.000661333,0.000661333,0.000661333
2,31.4994,1.35089,0.90923,1.20534,0.02954,0.37995,0.01726,0.00907,1.83133,12.756,1.91632,0.00130171,0.00130171,0.00130171
3,46.4205,1.36163,0.85481,1.20897,0.83842,0.80186,0.84614,0.50538,1.54747,1.76339,1.5403,0.00191568,0.00191568,0.00191568
4,61.2939,1.38876,0.85201,1.20618,0.85515,0.78441,0.83632,0.52195,1.42467,1.67929,1.37643,0.0018812,0.0018812,0.0018812
5,75.9579,1.32605,0.76083,1.17366,0.88699,0.88811,0.92469,0.56716,1.31689,0.83417,1.25688,0.0018416,0.0018416,0.0018416
6,90.7556,1.32819,0.75064,1.17393,0.89122,0.87179,0.92346,0.56884,1.34837,0.90677,1.27953,0.001802,0.001802,0.001802
7,105.682,1.29891,0.71546,1.16002,0.90305,0.90676,0.9451,0.59868,1.24032,0.86364,1.19724,0.0017624,0.0017624,0.0017624
8,120.625,1.25982,0.70125,1.12748,0.90005,0.92363,0.92677,0.59735,1.21699,0.72153,1.1924,0.0017228,0.0017228,0.0017228
9,135.485,1.25211,0.68969,1.13296,0.8978,0.91375,0.92425,0.57638,1.26413,0.80356,1.23118,0.0016832,0.0016832,0.0016832
10,150.26,1.23553,0.66819,1.12259,0.91796,0.9389,0.9664,0.60918,1.23115,0.87893,1.16845,0.0016436,0.0016436,0.0016436
11,164.996,1.20085,0.64566,1.1112,0.92647,0.93986,0.96012,0.63583,1.18931,0.65252,1.18027,0.001604,0.001604,0.001604
12,179.696,1.20507,0.62912,1.1057,0.92234,0.95338,0.9686,0.62208,1.2239,0.68187,1.1964,0.0015644,0.0015644,0.0015644
13,194.34,1.19755,0.6129,1.10426,0.89397,0.94333,0.9463,0.64651,1.11183,0.67706,1.10977,0.0015248,0.0015248,0.0015248
14,209.134,1.1787,0.59934,1.08693,0.91679,0.95804,0.96408,0.64101,1.13631,0.66046,1.13332,0.0014852,0.0014852,0.0014852
