epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0287,1.27802,1.68569,1.09938,0.93369,0.82051,0.90585,0.5552,1.23023,1.68684,1.13095,0.000661333,0.000661333,0.000661333
2,21.2329,1.27908,1.17366,1.12251,0.79428,0.88201,0.90564,0.556,1.27605,1.24128,1.15957,0.00130171,0.00130171,0.00130171
3,30.8532,1.28559,0.98101,1.12865,0.92459,0.88602,0.93406,0.56771,1.31101,1.09107,1.21798,0.00191568,0.00191568,0.00191568
4,40.5404,1.27506,0.88789,1.11334,0.9073,0.91608,0.92979,0.59874,1.2029,0.93907,1.14122,0.0018812,0.0018812,0.0018812
5,50.4578,1.24551,0.78586,1.10169,0.91782,0.91117,0.94567,0.60054,1.28185,0.83661,1.19396,0.0018416,0.0018416,0.0018416
6,60.3306,1.25337,0.76998,1.10703,0.89196,0.84674,0.92836,0.59152,1.19439,0.83456,1.1162,0.001802,0.001802,0.001802
7,70.0079,1.23196,0.71956,1.09161,0.90881,0.95246,0.95617,0.62955,1.17485,0.71824,1.10068,0.0017624,0.0017624,0.0017624
8,79.7203,1.22353,0.69648,1.08308,0.89681,0.95216,0.94549,0.61642,1.17731,0.70565,1.12305,0.0017228,0.0017228,0.0017228
9,89.3861,1.19304,0.68375,1.08345,0.93412,0.92539,0.94819,0.63489,1.15073,0.8223,1.10912,0.0016832,0.0016832,0.0016832
10,99.1021,1.20432,0.66299,1.08223,0.92005,0.93889,0.95003,0.63283,1.15979,0.67461,1.11388,0.0016436,0.0016436,0.0016436
11,108.548,1.1782,0.64001,1.07978,0.91305,0.95571,0.95296,0.62838,1.11939,0.67503,1.08608,0.001604,0.001604,0.001604
12,118.288,1.17461,0.63193,1.07204,0.91786,0.95804,0.95279,0.61003,1.2171,0.6643,1.14733,0.0015644,0.0015644,0.0015644
13,127.982,1.16001,0.62331,1.07003,0.93242,0.96737,0.96323,0.62807,1.2021,0.62656,1.16532,0.0015248,0.0015248,0.0015248
14,137.745,1.14211,0.59169,1.05185,0.92344,0.95105,0.95874,0.64961,1.09071,0.62173,1.06845,0.0014852,0.0014852,0.0014852
15,147.298,1.14375,0.58584,1.05347,0.93709,0.96037,0.96257,0.65433,1.06912,0.60385,1.07211,0.0014456,0.0014456,0.0014456
16,156.992,1.13752,0.59214,1.06401,0.92254,0.95105,0.95345,0.63782,1.0777,0.64273,1.06058,0.001406,0.001406,0.001406
17,166.735,1.11493,0.5748,1.05223,0.95072,0.94436,0.97128,0.66943,1.06663,0.60123,1.0429,0.0013664,0.0013664,0.0013664
18,176.438,1.07622,0.56282,1.0465,0.92077,0.94812,0.95593,0.64221,1.0664,0.64896,1.09017,0.0013268,0.0013268,0.0013268
19,186.303,1.0976,0.57034,1.04344,0.93393,0.9697,0.97397,0.6828,1.05755,0.56464,1.05522,0.0012872,0.0012872,0.0012872
20,196.033,1.08297,0.55371,1.04475,0.92571,0.95856,0.97077,0.66767,1.02356,0.57268,1.04396,0.0012476,0.0012476,0.0012476
21,205.497,1.06221,0.54748,1.03471,0.93379,0.95343,0.97404,0.67396,1.04541,0.56535,1.06406,0.001208,0.001208,0.001208
22,214.826,1.09515,0.54728,1.04822,0.927,0.96503,0.97725,0.6797,1.04311,0.55063,1.05499,0.0011684,0.0011684,0.0011684
23,224.28,1.0781,0.55313,1.04409,0.94117,0.94406,0.95918,0.66058,1.02055,0.66369,1.02694,0.0011288,0.0011288,0.0011288
24,233.984,1.07087,0.53349,1.03362,0.9298,0.95706,0.96057,0.66075,1.03712,0.59307,1.0498,0.0010892,0.0010892,0.0010892
25,243.476,1.07283,0.53664,1.02386,0.93883,0.97203,0.97311,0.67025,1.0451,0.56558,1.07108,0.0010496,0.0010496,0.0010496
26,252.675,1.04898,0.51442,1.01742,0.93155,0.95167,0.95916,0.67086,1.00894,0.55865,1.03844,0.00101,0.00101,0.00101
27,262.114,1.06419,0.53254,1.03656,0.9267,0.95804,0.96042,0.681,1.03988,0.58053,1.06774,0.0009704,0.0009704,0.0009704
28,271.473,1.03617,0.50862,1.02967,0.92398,0.96737,0.9694,0.69934,0.96789,0.50041,1.02133,0.0009308,0.0009308,0.0009308
29,280.966,1.02721,0.51505,1.0122,0.94262,0.95729,0.97321,0.6801,1.00606,0.53303,1.04811,0.0008912,0.0008912,0.0008912
30,290.385,1.0256,0.49561,1.00929,0.92643,0.96861,0.96706,0.67835,0.99211,0.52581,1.03893,0.0008516,0.0008516,0.0008516
31,300.052,1.03064,0.5005,1.01307,0.93008,0.96117,0.96284,0.67498,0.97131,0.54598,1.00662,0.000812,0.000812,0.000812
32,309.698,1.01443,0.49825,1.01369,0.92771,0.95105,0.96506,0.6882,0.99639,0.53205,1.02459,0.0007724,0.0007724,0.0007724
33,319.498,1.02154,0.48521,1.01096,0.94233,0.95225,0.96447,0.69026,0.96708,0.54339,1.00882,0.0007328,0.0007328,0.0007328
