epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2231,1.25111,1.1768,1.05467,0.90213,0.79496,0.87563,0.48772,1.45216,1.16295,1.31164,0.000661333,0.000661333,0.000661333
2,19.9645,1.28168,0.80319,1.07889,0.82894,0.76812,0.79965,0.47684,1.40385,1.05834,1.25286,0.00130171,0.00130171,0.00130171
3,29.3636,1.31633,0.77077,1.08668,0.33289,0.5338,0.27476,0.16556,1.56314,2.65099,1.33427,0.00191568,0.00191568,0.00191568
4,38.4209,1.28459,0.78228,1.08522,0.88964,0.80653,0.85552,0.52414,1.42459,2.21948,1.28844,0.0018812,0.0018812,0.0018812
5,47.5365,1.25752,0.70924,1.05811,0.92161,0.81818,0.87302,0.54196,1.30356,0.81109,1.16822,0.0018416,0.0018416,0.0018416
6,56.7602,1.24779,0.6845,1.07165,0.89529,0.91142,0.9179,0.58741,1.22383,0.7879,1.16758,0.001802,0.001802,0.001802
7,65.802,1.23439,0.67203,1.05402,0.92053,0.88112,0.92332,0.57446,1.2963,0.73524,1.18034,0.0017624,0.0017624,0.0017624
8,75.0071,1.19954,0.65181,1.02762,0.92747,0.87879,0.93087,0.60233,1.21348,0.68026,1.1373,0.0017228,0.0017228,0.0017228
9,84.0799,1.18244,0.62978,1.03371,0.9168,0.91841,0.94862,0.61262,1.19547,0.68352,1.10974,0.0016832,0.0016832,0.0016832
10,93.1037,1.18634,0.62669,1.0281,0.93158,0.8886,0.94178,0.61765,1.23967,0.68987,1.1693,0.0016436,0.0016436,0.0016436
11,102.156,1.16296,0.61732,1.02739,0.93485,0.93661,0.95787,0.62299,1.12186,0.63433,1.09451,0.001604,0.001604,0.001604
12,111.176,1.14524,0.59996,1.01604,0.94072,0.92485,0.95418,0.60149,1.24072,0.64352,1.14782,0.0015644,0.0015644,0.0015644
13,120.325,1.13868,0.5958,1.01999,0.93069,0.93897,0.96333,0.63978,1.10304,0.60793,1.11221,0.0015248,0.0015248,0.0015248
14,129.492,1.11764,0.57641,1.00272,0.94725,0.91375,0.94576,0.59674,1.22825,0.66015,1.16311,0.0014852,0.0014852,0.0014852
15,138.734,1.1306,0.56903,1.00522,0.93839,0.94872,0.95849,0.63346,1.17927,0.58456,1.14348,0.0014456,0.0014456,0.0014456
16,147.609,1.09857,0.56613,1.0055,0.93285,0.9391,0.95694,0.64026,1.08148,0.59324,1.08332,0.001406,0.001406,0.001406
17,156.684,1.08364,0.55395,0.99231,0.93354,0.93706,0.95451,0.62421,1.16076,0.62807,1.15566,0.0013664,0.0013664,0.0013664
18,165.713,1.07068,0.54159,0.99714,0.92286,0.92029,0.93741,0.62472,1.13608,0.81404,1.10293,0.0013268,0.0013268,0.0013268
19,174.877,1.08312,0.54911,1.00296,0.92873,0.94165,0.95601,0.6439,1.15367,0.61923,1.12036,0.0012872,0.0012872,0.0012872
20,183.884,1.06767,0.54591,1.00063,0.91844,0.95338,0.95698,0.65597,1.02181,0.57356,1.03781,0.0012476,0.0012476,0.0012476
21,193.008,1.03136,0.52792,0.98035,0.94128,0.95105,0.96999,0.65142,1.09934,0.591,1.09375,0.001208,0.001208,0.001208
22,202.29,1.06765,0.51942,0.99147,0.93954,0.92075,0.95592,0.63399,1.09022,0.57682,1.06523,0.0011684,0.0011684,0.0011684
23,211.397,1.07395,0.54071,0.9934,0.94695,0.95709,0.96813,0.66965,1.08507,0.55435,1.0664,0.0011288,0.0011288,0.0011288
24,221.111,1.03019,0.51558,0.97623,0.94094,0.95338,0.96937,0.65921,1.06439,0.56481,1.07043,0.0010892,0.0010892,0.0010892
25,230.356,1.04996,0.52021,0.97367,0.94698,0.93473,0.96396,0.66436,1.04862,0.57615,1.04069,0.0010496,0.0010496,0.0010496
26,239.619,1.01302,0.49958,0.96735,0.94021,0.95312,0.95452,0.67042,1.04672,0.57012,1.05557,0.00101,0.00101,0.00101
27,248.67,1.04861,0.50542,0.98373,0.93343,0.95105,0.9545,0.67656,1.02576,0.55783,1.05041,0.0009704,0.0009704,0.0009704
28,257.973,1.00565,0.49393,0.98129,0.94636,0.94585,0.96436,0.6783,1.01621,0.55457,1.04271,0.0009308,0.0009308,0.0009308
29,267.163,1.0067,0.5028,0.97016,0.95499,0.94172,0.9661,0.66226,1.02879,0.56079,1.04006,0.0008912,0.0008912,0.0008912
30,276.307,0.99706,0.48329,0.96431,0.94281,0.96075,0.95923,0.66668,1.0522,0.54601,1.06205,0.0008516,0.0008516,0.0008516
31,285.584,0.99038,0.49119,0.96186,0.95542,0.95105,0.96813,0.67091,1.04445,0.54615,1.06436,0.000812,0.000812,0.000812
32,294.609,0.98359,0.47988,0.96148,0.94026,0.95394,0.9648,0.68404,0.96974,0.50428,1.02366,0.0007724,0.0007724,0.0007724
33,303.667,0.99083,0.46978,0.96304,0.94098,0.95571,0.96701,0.68277,1.02864,0.52419,1.04606,0.0007328,0.0007328,0.0007328
34,312.784,0.95608,0.47112,0.94751,0.93482,0.95338,0.96009,0.68718,0.98695,0.50989,1.04225,0.0006932,0.0006932,0.0006932
35,322.101,0.9867,0.4741,0.94924,0.94459,0.93939,0.96971,0.69462,1.04538,0.532,1.07691,0.0006536,0.0006536,0.0006536
36,331.286,0.94568,0.46055,0.94837,0.94675,0.95316,0.97083,0.69347,0.99942,0.51426,1.03674,0.000614,0.000614,0.000614
37,340.993,0.94285,0.4431,0.94257,0.94741,0.94872,0.96976,0.7042,0.99224,0.50921,1.04459,0.0005744,0.0005744,0.0005744
38,350.241,0.93774,0.44993,0.94963,0.93714,0.95338,0.95936,0.6884,0.99536,0.50871,1.03623,0.0005348,0.0005348,0.0005348
39,358.977,0.93878,0.45212,0.94837,0.95444,0.96037,0.96971,0.7005,0.98414,0.48399,1.03816,0.0004952,0.0004952,0.0004952
40,367.665,0.92951,0.44178,0.94396,0.94108,0.95804,0.96918,0.69377,0.99556,0.52237,1.03832,0.0004556,0.0004556,0.0004556
41,388.944,0.9504,0.42427,0.94005,0.93889,0.96737,0.96498,0.70382,0.98108,0.47899,1.03817,0.000416,0.000416,0.000416
42,397.793,0.95191,0.4288,0.93763,0.95118,0.9537,0.96614,0.69787,0.99239,0.49283,1.0263,0.0003764,0.0003764,0.0003764
43,406.625,0.95565,0.42188,0.94443,0.93857,0.9627,0.96894,0.70546,0.97892,0.47632,1.02873,0.0003368,0.0003368,0.0003368
44,415.686,0.93672,0.40789,0.94183,0.94219,0.9497,0.96383,0.69426,0.99074,0.49701,1.03659,0.0002972,0.0002972,0.0002972
45,424.419,0.94083,0.41516,0.93648,0.95821,0.95571,0.96868,0.70228,0.97166,0.48917,1.02049,0.0002576,0.0002576,0.0002576
46,433.279,0.9187,0.40338,0.94239,0.94752,0.9697,0.97242,0.70987,0.99452,0.48464,1.03599,0.000218,0.000218,0.000218
47,441.785,0.917,0.39525,0.94094,0.93658,0.96503,0.96971,0.70855,0.97237,0.48451,1.03302,0.0001784,0.0001784,0.0001784
48,450.562,0.92341,0.40102,0.93524,0.94482,0.95804,0.96891,0.71172,0.94935,0.45667,1.02338,0.0001388,0.0001388,0.0001388
49,459.428,0.88649,0.38678,0.92355,0.94241,0.9627,0.971,0.71313,0.93728,0.45642,1.01582,9.92e-05,9.92e-05,9.92e-05
50,467.89,0.89459,0.38947,0.92486,0.94507,0.96503,0.97128,0.71733,0.9278,0.45789,1.01015,5.96e-05,5.96e-05,5.96e-05
