epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07323,2.85404,4.22071,2.70434,0.0024,0.81818,0.09467,0.02173,3.60334,4.53842,3.39802,0.00048,0.00048,0.00048
2,5.3478,2.44182,3.84993,2.41884,0.00247,0.84091,0.05287,0.01755,3.49025,4.7448,3.881,0.000960596,0.000960596,0.000960596
3,7.46526,2.46161,3.67778,2.43071,0.0737,0.27273,0.04143,0.01177,3.67084,4.70948,4.5018,0.00142139,0.00142139,0.00142139
4,9.54699,2.43883,3.59317,2.4095,0.01073,0.04545,0.00359,0.00101,4.08615,6.98979,6.43576,0.00186239,0.00186239,0.00186239
5,11.8196,2.53481,3.63125,2.50701,0.10823,0.27273,0.07235,0.01974,3.16161,5.92329,6.02924,0.0018416,0.0018416,0.0018416
6,14.0236,2.48085,3.37583,2.50522,0.05097,0.34091,0.03276,0.00864,3.24385,7.28986,5.00396,0.001802,0.001802,0.001802
7,16.1381,2.43704,3.27565,2.40796,0.05528,0.31257,0.03119,0.00958,3.78269,4.89602,4.19625,0.0017624,0.0017624,0.0017624
8,18.2265,2.44794,3.32232,2.33836,0.03714,0.16046,0.02849,0.00751,3.86345,5.29575,5.4596,0.0017228,0.0017228,0.0017228
9,20.4327,2.4458,3.09016,2.37527,0.23453,0.06818,0.05776,0.0157,3.14066,4.33026,3.8232,0.0016832,0.0016832,0.0016832
10,22.5782,2.36668,3.03734,2.47519,0.20884,0.31818,0.13667,0.04076,3.12644,5.81908,4.97956,0.0016436,0.0016436,0.0016436
11,24.7469,2.32846,3.02261,2.40628,0.07147,0.34091,0.05356,0.01038,3.31147,4.87479,4.43597,0.001604,0.001604,0.001604
12,26.8944,2.3053,3.0461,2.32822,0.17254,0.45495,0.13738,0.04407,3.03409,4.21476,3.82872,0.0015644,0.0015644,0.0015644
13,29.1501,2.28152,2.98784,2.27509,0.16974,0.40909,0.17859,0.0554,3.17957,3.78744,4.06922,0.0015248,0.0015248,0.0015248
14,31.4776,2.25336,2.88027,2.25845,0.07391,0.47727,0.0661,0.01703,3.452,4.35073,4.21738,0.0014852,0.0014852,0.0014852
15,33.9289,2.24482,2.81915,2.24005,0.17162,0.11364,0.16201,0.05834,3.17006,3.53217,3.6232,0.0014456,0.0014456,0.0014456
16,36.3428,2.22318,2.78759,2.26332,0.0905,0.5,0.21329,0.06222,3.07955,3.12573,3.48125,0.001406,0.001406,0.001406
17,38.5236,2.16019,2.74817,2.24904,0.21883,0.27273,0.21927,0.06488,3.05563,3.48522,3.69522,0.0013664,0.0013664,0.0013664
18,40.6415,2.11005,2.75155,2.144,0.14196,0.65909,0.19478,0.07759,3.10071,3.28269,3.70487,0.0013268,0.0013268,0.0013268
19,42.7496,2.08583,2.70307,2.14242,0.04704,0.81818,0.13295,0.04101,3.25679,3.00364,3.68765,0.0012872,0.0012872,0.0012872
20,44.821,2.10724,2.67907,2.14451,0.07676,0.63636,0.19248,0.06383,3.30368,2.81767,3.72871,0.0012476,0.0012476,0.0012476
21,46.8853,2.14155,2.63726,2.16168,0.15934,0.43182,0.15654,0.04739,3.27077,2.70638,3.61795,0.001208,0.001208,0.001208
22,48.918,2.11666,2.59411,2.12937,0.11888,0.36364,0.18084,0.05895,3.22666,2.69213,3.48285,0.0011684,0.0011684,0.0011684
23,51.0083,2.09133,2.53294,2.1239,0.27218,0.34091,0.23129,0.08013,3.14188,2.64648,3.37896,0.0011288,0.0011288,0.0011288
24,53.1696,2.09543,2.49308,2.132,0.20656,0.34091,0.19285,0.06984,3.09995,2.68907,3.1471,0.0010892,0.0010892,0.0010892
25,55.3254,2.04195,2.5895,2.06738,0.24595,0.27273,0.20802,0.07947,2.93865,2.75018,3.16073,0.0010496,0.0010496,0.0010496
26,57.5229,2.03032,2.55706,2.08674,0.33132,0.27273,0.20704,0.08425,2.90087,2.70071,3.16117,0.00101,0.00101,0.00101
27,59.618,2.02653,2.4387,2.11005,0.29335,0.34091,0.28141,0.0952,3.10357,2.58073,3.31476,0.0009704,0.0009704,0.0009704
28,61.6621,2.03668,2.5215,2.04972,0.3252,0.38636,0.33287,0.13019,3.09569,2.47997,3.50026,0.0009308,0.0009308,0.0009308
29,63.7648,1.99954,2.42713,2.05062,0.2289,0.31818,0.26827,0.10859,3.00245,2.54142,3.3271,0.0008912,0.0008912,0.0008912
30,65.9303,2.00275,2.44884,2.08093,0.25868,0.29545,0.27807,0.11177,3.04937,2.69253,3.65724,0.0008516,0.0008516,0.0008516
31,68.037,1.92151,2.42361,1.99509,0.31936,0.43182,0.31375,0.11786,2.89281,2.56266,3.43821,0.000812,0.000812,0.000812
32,70.1269,1.97955,2.41024,2.05864,0.26799,0.34091,0.30226,0.11792,3.00591,2.61587,3.42908,0.0007724,0.0007724,0.0007724
33,72.2787,1.88016,2.333,1.97121,0.28265,0.40909,0.29783,0.10361,3.06755,2.5813,3.45121,0.0007328,0.0007328,0.0007328
34,74.333,1.90188,2.31156,2.00943,0.24871,0.4891,0.29053,0.10233,3.05231,2.44868,3.40512,0.0006932,0.0006932,0.0006932
35,76.4603,1.82006,2.31247,1.93052,0.31554,0.38636,0.35228,0.14374,2.9582,2.36868,3.36649,0.0006536,0.0006536,0.0006536
36,78.515,1.87606,2.28973,1.9905,0.25288,0.43182,0.29358,0.1079,2.99576,2.503,3.46036,0.000614,0.000614,0.000614
37,80.6118,1.863,2.27611,1.99268,0.20691,0.45455,0.2472,0.09098,2.9951,2.50542,3.42967,0.0005744,0.0005744,0.0005744
38,82.6723,1.85829,2.30326,1.9622,0.20256,0.59091,0.26281,0.12361,3.04526,2.38961,3.62662,0.0005348,0.0005348,0.0005348
39,84.9057,1.81882,2.26857,1.94041,0.22616,0.54545,0.27726,0.12712,3.00131,2.41465,3.64603,0.0004952,0.0004952,0.0004952
40,87.3367,1.85883,2.22667,1.99366,0.23104,0.65909,0.29426,0.12934,3.03274,2.35108,3.62736,0.0004556,0.0004556,0.0004556
41,104.718,1.55653,2.35087,1.874,0.25874,0.54545,0.27697,0.11795,3.04278,2.41667,3.75366,0.000416,0.000416,0.000416
42,106.799,1.61142,2.16124,1.88082,0.2899,0.45455,0.32547,0.13131,3.02265,2.41745,3.64277,0.0003764,0.0003764,0.0003764
43,108.914,1.62221,2.14715,1.85221,0.30289,0.5,0.36404,0.1427,3.03543,2.35554,3.69385,0.0003368,0.0003368,0.0003368
44,111.042,1.57257,2.07346,1.82587,0.30576,0.61364,0.39467,0.15286,3.00739,2.33673,3.65725,0.0002972,0.0002972,0.0002972
45,113.121,1.57765,2.03839,1.79053,0.3357,0.56818,0.42777,0.17836,2.91804,2.34111,3.55142,0.0002576,0.0002576,0.0002576
46,115.103,1.5428,2.01649,1.7767,0.29766,0.43182,0.39546,0.16266,2.90724,2.41621,3.56002,0.000218,0.000218,0.000218
47,117.067,1.49501,2.00891,1.7933,0.33001,0.52273,0.40355,0.1681,2.88879,2.45424,3.59111,0.0001784,0.0001784,0.0001784
48,119.036,1.4736,2.003,1.75629,0.36954,0.55958,0.41945,0.17192,2.91771,2.36961,3.63091,0.0001388,0.0001388,0.0001388
49,121.092,1.4728,2.00522,1.7534,0.38991,0.54545,0.39671,0.17634,2.93169,2.32202,3.65396,9.92e-05,9.92e-05,9.92e-05
50,123.143,1.48749,1.9788,1.74279,0.35525,0.5,0.39135,0.17946,2.92684,2.31863,3.65308,5.96e-05,5.96e-05,5.96e-05
