epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7073,1.29002,1.60498,1.12167,0.3829,0.71594,0.54295,0.33415,1.34288,2.39934,1.30529,0.000661333,0.000661333,0.000661333
2,24.2442,1.34958,0.86825,1.16061,0.72017,0.82517,0.74953,0.43774,1.38972,1.75726,1.32455,0.00130171,0.00130171,0.00130171
3,35.6336,1.33525,0.82497,1.15064,0.85449,0.88811,0.88735,0.53447,1.41829,0.9165,1.38678,0.00191568,0.00191568,0.00191568
4,46.869,1.35805,0.80251,1.18132,0.84304,0.81377,0.84511,0.51173,1.45106,0.99892,1.36909,0.0018812,0.0018812,0.0018812
5,58.0925,1.31545,0.73742,1.14495,0.86794,0.87324,0.87075,0.51421,1.39928,0.96489,1.36494,0.0018416,0.0018416,0.0018416
6,69.537,1.29379,0.71942,1.15356,0.90763,0.94406,0.94714,0.58916,1.27942,0.70938,1.29358,0.001802,0.001802,0.001802
7,80.9384,1.27087,0.70561,1.12084,0.92731,0.8951,0.93645,0.59092,1.27998,0.75872,1.26834,0.0017624,0.0017624,0.0017624
8,92.1964,1.25378,0.69173,1.09258,0.88215,0.9021,0.8991,0.55933,1.35979,0.81668,1.36304,0.0017228,0.0017228,0.0017228
9,103.195,1.2161,0.65486,1.10709,0.93036,0.90676,0.93692,0.59761,1.2691,0.77026,1.28483,0.0016832,0.0016832,0.0016832
10,114.462,1.23282,0.66029,1.09738,0.92463,0.88649,0.92655,0.58655,1.25786,0.86455,1.26841,0.0016436,0.0016436,0.0016436
11,125.489,1.20239,0.63492,1.09819,0.92104,0.93706,0.94731,0.61196,1.25929,0.69543,1.25802,0.001604,0.001604,0.001604
12,136.771,1.20994,0.63478,1.07806,0.92975,0.91142,0.9434,0.55988,1.36191,0.80414,1.33375,0.0015644,0.0015644,0.0015644
13,147.904,1.19527,0.61854,1.08481,0.93432,0.93007,0.96262,0.62544,1.18234,0.6378,1.2035,0.0015248,0.0015248,0.0015248
14,158.987,1.15106,0.60193,1.05339,0.90431,0.90318,0.93782,0.61618,1.24199,0.65782,1.27011,0.0014852,0.0014852,0.0014852
15,170.084,1.1626,0.5962,1.06088,0.9116,0.93473,0.94716,0.61895,1.18313,0.6716,1.20842,0.0014456,0.0014456,0.0014456
16,181.271,1.15615,0.59542,1.06788,0.93787,0.93939,0.96362,0.64835,1.11428,0.61094,1.16397,0.001406,0.001406,0.001406
17,192.404,1.13579,0.57461,1.05223,0.92921,0.94406,0.95885,0.63747,1.18893,0.61942,1.23658,0.0013664,0.0013664,0.0013664
18,203.458,1.12264,0.5755,1.05481,0.92813,0.93321,0.94658,0.62861,1.15712,0.70311,1.20525,0.0013268,0.0013268,0.0013268
19,214.672,1.13516,0.59311,1.06204,0.9306,0.93767,0.9621,0.62863,1.13163,0.60599,1.16251,0.0012872,0.0012872,0.0012872
20,225.844,1.12076,0.56324,1.054,0.93182,0.94872,0.95158,0.62902,1.13543,0.61595,1.17362,0.0012476,0.0012476,0.0012476
21,236.993,1.086,0.54556,1.03602,0.91907,0.95302,0.95704,0.64742,1.08733,0.56481,1.16395,0.001208,0.001208,0.001208
22,247.99,1.11233,0.54154,1.04567,0.91945,0.95782,0.9628,0.65327,1.10139,0.57675,1.15457,0.0011684,0.0011684,0.0011684
23,259.07,1.10443,0.56781,1.04826,0.94172,0.93473,0.95892,0.62632,1.19441,0.64718,1.22419,0.0011288,0.0011288,0.0011288
24,270.164,1.07521,0.53625,1.03217,0.93107,0.93007,0.95929,0.65483,1.09038,0.57894,1.15739,0.0010892,0.0010892,0.0010892
25,281.416,1.09275,0.53728,1.02823,0.93258,0.95804,0.96227,0.65429,1.09975,0.57202,1.16543,0.0010496,0.0010496,0.0010496
26,292.674,1.05406,0.51891,1.02682,0.9213,0.92774,0.94865,0.63848,1.10191,0.63449,1.16772,0.00101,0.00101,0.00101
27,303.686,1.09914,0.5376,1.0591,0.90611,0.95105,0.952,0.65605,1.09812,0.59437,1.17939,0.0009704,0.0009704,0.0009704
28,314.803,1.05543,0.51513,1.03637,0.92706,0.948,0.95603,0.66235,1.08988,0.61006,1.16161,0.0009308,0.0009308,0.0009308
29,325.74,1.04049,0.5183,1.01951,0.91998,0.93939,0.95402,0.65614,1.06441,0.60785,1.13655,0.0008912,0.0008912,0.0008912
30,336.899,1.03398,0.50764,1.00492,0.93927,0.93706,0.96692,0.6781,1.04788,0.5619,1.14343,0.0008516,0.0008516,0.0008516
31,348.231,1.03523,0.50283,1.01545,0.92659,0.94172,0.95579,0.67772,1.04321,0.59852,1.12994,0.000812,0.000812,0.000812
32,359.366,1.02176,0.5014,1.00987,0.91609,0.96711,0.96443,0.68267,1.06296,0.58246,1.13751,0.0007724,0.0007724,0.0007724
33,370.63,1.02876,0.48565,1.01391,0.93102,0.94379,0.95989,0.67292,1.07466,0.57437,1.16447,0.0007328,0.0007328,0.0007328
34,381.662,0.99844,0.48684,1.00397,0.93798,0.9518,0.96388,0.6857,1.01084,0.53024,1.10123,0.0006932,0.0006932,0.0006932
35,392.873,1.02535,0.49224,0.99729,0.92626,0.96629,0.965,0.68584,1.05855,0.5639,1.15053,0.0006536,0.0006536,0.0006536
36,404.113,0.98956,0.48034,1.00038,0.92283,0.94778,0.96752,0.69449,0.98963,0.51248,1.09233,0.000614,0.000614,0.000614
37,415.57,0.98359,0.46681,0.98988,0.93794,0.95804,0.96533,0.68572,1.01232,0.52715,1.11502,0.0005744,0.0005744,0.0005744
38,426.855,0.98079,0.46562,0.99311,0.93042,0.96634,0.96989,0.68537,1.04564,0.50804,1.1487,0.0005348,0.0005348,0.0005348
39,438.031,0.98334,0.47106,0.99456,0.93463,0.96737,0.96735,0.69793,0.99805,0.48226,1.11035,0.0004952,0.0004952,0.0004952
40,449.413,0.96771,0.45996,0.98805,0.93887,0.96668,0.97389,0.69617,0.97437,0.49709,1.08373,0.0004556,0.0004556,0.0004556
