epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.27784,1.27653,1.57443,1.0673,0.86428,0.77189,0.82778,0.51181,1.28771,1.54092,1.09011,0.000661333,0.000661333,0.000661333
2,17.9212,1.29936,1.07562,1.09331,0.82754,0.80534,0.82549,0.48614,1.37814,1.32177,1.24166,0.00130171,0.00130171,0.00130171
3,26.3449,1.30586,0.94265,1.11195,0.91462,0.88112,0.92763,0.56302,1.35938,0.9897,1.28187,0.00191568,0.00191568,0.00191568
4,35.1702,1.28358,0.87547,1.10409,0.92799,0.89977,0.92874,0.55375,1.29107,0.84177,1.18363,0.0018812,0.0018812,0.0018812
5,43.6548,1.25635,0.77958,1.07161,0.92714,0.86946,0.93775,0.60538,1.18881,0.79648,1.14918,0.0018416,0.0018416,0.0018416
6,52.2472,1.23269,0.74353,1.08312,0.92785,0.93939,0.95562,0.59342,1.21778,0.71314,1.16095,0.001802,0.001802,0.001802
7,60.5358,1.23063,0.72574,1.07641,0.92763,0.91142,0.94167,0.60346,1.19389,0.741,1.14877,0.0017624,0.0017624,0.0017624
8,68.6961,1.22393,0.71076,1.04735,0.93065,0.9071,0.94164,0.61227,1.18013,0.70627,1.14857,0.0017228,0.0017228,0.0017228
9,77.1423,1.17573,0.66831,1.04401,0.91181,0.94406,0.9579,0.62655,1.10686,0.68395,1.07321,0.0016832,0.0016832,0.0016832
10,85.6017,1.1977,0.65508,1.04568,0.92174,0.94406,0.95335,0.6434,1.12795,0.70426,1.11349,0.0016436,0.0016436,0.0016436
11,94.036,1.15831,0.63897,1.05117,0.90762,0.9627,0.96344,0.643,1.10572,0.62767,1.09423,0.001604,0.001604,0.001604
12,102.221,1.16342,0.62499,1.04372,0.91525,0.93141,0.94776,0.58503,1.22399,0.69414,1.16549,0.0015644,0.0015644,0.0015644
13,110.631,1.15638,0.61629,1.04616,0.92848,0.94639,0.95712,0.64187,1.14377,0.65135,1.13861,0.0015248,0.0015248,0.0015248
14,119.007,1.12784,0.59979,1.02109,0.91661,0.92075,0.94293,0.6407,1.10092,0.64908,1.10392,0.0014852,0.0014852,0.0014852
15,127.303,1.13595,0.58505,1.02474,0.92933,0.95105,0.96746,0.66793,1.06184,0.58493,1.08067,0.0014456,0.0014456,0.0014456
16,135.742,1.1061,0.57948,1.02248,0.9164,0.94539,0.9547,0.64881,1.10262,0.6387,1.10619,0.001406,0.001406,0.001406
17,143.986,1.09997,0.57392,1.01534,0.93387,0.95454,0.95417,0.64468,1.06711,0.58353,1.06836,0.0013664,0.0013664,0.0013664
18,152.177,1.08039,0.5692,1.01719,0.91694,0.92634,0.94606,0.63186,1.13106,0.65235,1.13814,0.0013268,0.0013268,0.0013268
19,160.524,1.09487,0.56995,1.02322,0.935,0.94639,0.97056,0.66956,1.08793,0.57462,1.11927,0.0012872,0.0012872,0.0012872
