epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9941,1.2848,1.41646,1.14739,0.8189,0.75889,0.83516,0.52121,1.36063,1.33518,1.3262,0.000661333,0.000661333,0.000661333
2,31.6428,1.2996,0.81519,1.16186,0.82683,0.8904,0.86164,0.48227,1.5183,1.13855,1.53021,0.00130171,0.00130171,0.00130171
3,47.0128,1.31666,0.79527,1.16866,0.84895,0.85158,0.90094,0.54235,1.42515,1.46516,1.44928,0.00191568,0.00191568,0.00191568
4,62.5792,1.34014,0.79542,1.18291,0.91238,0.90443,0.93818,0.56912,1.38233,0.81881,1.37759,0.0018812,0.0018812,0.0018812
5,77.4699,1.28576,0.7207,1.15145,0.87907,0.90909,0.92753,0.57305,1.31493,0.93116,1.31263,0.0018416,0.0018416,0.0018416
6,92.3326,1.29838,0.73277,1.16685,0.90212,0.91841,0.93714,0.60506,1.24625,0.75692,1.26172,0.001802,0.001802,0.001802
7,107.169,1.26374,0.68312,1.14411,0.90797,0.8739,0.88519,0.56654,1.29195,1.09954,1.25541,0.0017624,0.0017624,0.0017624
8,122.035,1.24826,0.66751,1.11993,0.90999,0.9324,0.94008,0.60942,1.2135,0.65076,1.22827,0.0017228,0.0017228,0.0017228
9,136.818,1.21114,0.64729,1.12319,0.90405,0.93473,0.95141,0.61959,1.1955,0.76106,1.1882,0.0016832,0.0016832,0.0016832
10,153.227,1.21622,0.64315,1.11007,0.87962,0.95338,0.94896,0.62067,1.19535,0.68648,1.20644,0.0016436,0.0016436,0.0016436
11,173.462,1.18122,0.62552,1.10972,0.92166,0.95983,0.96332,0.64632,1.11861,0.63904,1.13081,0.001604,0.001604,0.001604
12,194.142,1.18374,0.60183,1.09195,0.93571,0.94872,0.96047,0.61714,1.24135,0.66492,1.2502,0.0015644,0.0015644,0.0015644
13,216.501,1.17322,0.60263,1.09464,0.92143,0.9294,0.95151,0.64091,1.15941,0.67682,1.18312,0.0015248,0.0015248,0.0015248
14,238.65,1.14889,0.57293,1.07232,0.92938,0.95338,0.95946,0.62956,1.17344,0.62531,1.18099,0.0014852,0.0014852,0.0014852
15,260.464,1.17631,0.57784,1.08735,0.92201,0.93007,0.96016,0.63732,1.15194,0.62974,1.18386,0.0014456,0.0014456,0.0014456
16,283.556,1.12572,0.56989,1.07559,0.9196,0.95338,0.95768,0.64777,1.03577,0.62587,1.06398,0.001406,0.001406,0.001406
17,308.561,1.11701,0.56008,1.07305,0.91912,0.94172,0.95963,0.66929,1.03393,0.64677,1.09511,0.0013664,0.0013664,0.0013664
18,331.15,1.09536,0.55103,1.07949,0.92602,0.94639,0.95763,0.64707,1.07743,0.62226,1.13281,0.0013268,0.0013268,0.0013268
19,352.246,1.10346,0.5541,1.0778,0.92527,0.9627,0.96771,0.67866,1.03752,0.56385,1.08066,0.0012872,0.0012872,0.0012872
20,373.806,1.08935,0.5375,1.07393,0.92941,0.94872,0.96275,0.66487,1.05674,0.54374,1.09501,0.0012476,0.0012476,0.0012476
21,396.653,1.06452,0.53333,1.05753,0.91664,0.9484,0.96261,0.65209,1.07428,0.56899,1.13136,0.001208,0.001208,0.001208
22,419.933,1.08831,0.5248,1.07223,0.93035,0.96528,0.96992,0.6635,1.02793,0.55289,1.09676,0.0011684,0.0011684,0.0011684
23,442.197,1.07929,0.54214,1.06335,0.91621,0.95338,0.94822,0.63041,1.09693,0.64997,1.13723,0.0011288,0.0011288,0.0011288
24,465.047,1.06382,0.52086,1.04604,0.92007,0.96598,0.9659,0.66289,1.04094,0.56067,1.08682,0.0010892,0.0010892,0.0010892
25,487.738,1.07564,0.51929,1.0451,0.92767,0.95674,0.95897,0.6642,1.07909,0.56933,1.13721,0.0010496,0.0010496,0.0010496
26,510.63,1.04693,0.50139,1.03997,0.93122,0.94675,0.96506,0.67571,1.01845,0.56905,1.07117,0.00101,0.00101,0.00101
27,532.998,1.07416,0.52034,1.06434,0.94147,0.97484,0.97186,0.6814,1.01686,0.53424,1.07319,0.0009704,0.0009704,0.0009704
28,555.277,1.03443,0.49687,1.04662,0.94036,0.96037,0.97301,0.6876,1.01552,0.52627,1.08257,0.0009308,0.0009308,0.0009308
29,575.879,1.03045,0.50133,1.03775,0.94241,0.95804,0.96674,0.66431,1.05664,0.56022,1.103,0.0008912,0.0008912,0.0008912
30,598.512,1.02477,0.4806,1.02115,0.93609,0.95593,0.96836,0.69098,1.04317,0.54126,1.09678,0.0008516,0.0008516,0.0008516
31,619.349,1.01774,0.48118,1.02414,0.94483,0.95105,0.9673,0.68972,1.03888,0.53124,1.10027,0.000812,0.000812,0.000812
32,639.752,1.01422,0.47976,1.03118,0.9381,0.94872,0.96279,0.68453,1.00736,0.537,1.08551,0.0007724,0.0007724,0.0007724
33,654.631,1.00912,0.46868,1.02549,0.93681,0.96769,0.97361,0.7006,0.99636,0.50618,1.08113,0.0007328,0.0007328,0.0007328
34,669.362,0.98604,0.47042,1.01422,0.93011,0.96166,0.96312,0.69135,0.97345,0.53469,1.05483,0.0006932,0.0006932,0.0006932
35,683.92,1.01971,0.47216,1.02014,0.95357,0.95744,0.97089,0.70348,0.96615,0.51667,1.05105,0.0006536,0.0006536,0.0006536
36,698.612,0.97362,0.45726,1.01238,0.9397,0.9444,0.96753,0.69776,1.00664,0.53858,1.08557,0.000614,0.000614,0.000614
37,713.498,0.96956,0.44675,1.01245,0.93439,0.96276,0.96409,0.70491,0.98671,0.52855,1.06403,0.0005744,0.0005744,0.0005744
38,728.676,0.96705,0.44891,1.00496,0.93468,0.96728,0.96518,0.70016,0.97688,0.50772,1.05379,0.0005348,0.0005348,0.0005348
39,743.387,0.97332,0.45072,1.00879,0.95582,0.94172,0.96678,0.70941,0.98133,0.53544,1.05438,0.0004952,0.0004952,0.0004952
40,758.212,0.96315,0.44637,1.01158,0.93225,0.9622,0.96931,0.69748,0.99145,0.52585,1.05917,0.0004556,0.0004556,0.0004556
41,786.968,0.97643,0.42655,1.00874,0.93237,0.95338,0.96723,0.69591,1.00188,0.5413,1.0853,0.000416,0.000416,0.000416
42,801.372,0.9831,0.42297,0.99538,0.93896,0.9627,0.97059,0.7008,0.97341,0.48968,1.06144,0.0003764,0.0003764,0.0003764
43,815.387,0.96163,0.41309,0.99876,0.94302,0.95338,0.97243,0.71089,0.97406,0.49138,1.08771,0.0003368,0.0003368,0.0003368
44,829.657,0.95911,0.40024,1.00977,0.94059,0.95338,0.96817,0.70113,0.99892,0.49864,1.08972,0.0002972,0.0002972,0.0002972
45,843.974,0.95497,0.41021,0.9924,0.93394,0.9697,0.97039,0.70511,0.96709,0.47611,1.06821,0.0002576,0.0002576,0.0002576
46,858.265,0.93969,0.40111,0.99789,0.95996,0.95017,0.97359,0.70973,0.9654,0.47258,1.06516,0.000218,0.000218,0.000218
47,872.356,0.94793,0.39867,0.9981,0.94916,0.95748,0.96851,0.71878,0.93615,0.45933,1.04249,0.0001784,0.0001784,0.0001784
48,886.451,0.93922,0.39396,0.99412,0.94519,0.96737,0.97031,0.72248,0.9295,0.45613,1.04615,0.0001388,0.0001388,0.0001388
49,900.742,0.9098,0.38808,0.9811,0.94499,0.96108,0.97294,0.71941,0.93335,0.45535,1.05685,9.92e-05,9.92e-05,9.92e-05
50,914.929,0.91952,0.38697,0.9749,0.94598,0.9627,0.97,0.72036,0.92952,0.44926,1.05648,5.96e-05,5.96e-05,5.96e-05
